Country Name,Country Code,Time,Time Code,"Net bilateral aid flows from DAC donors, United States (current US$) [DC.DAC.USAL.CD]",Net official aid received (constant 2013 US$) [DT.ODA.OATL.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Net bilateral aid flows from DAC donors, Total (current US$) [DC.DAC.TOTL.CD]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Agricultural land (sq. km) [AG.LND.AGRI.K2],Battle-related deaths (number of people) [VC.BTL.DETH]
Afghanistan,AFG,1960,YR1960,15000000,..,..,15670000,..,..,..
Afghanistan,AFG,1961,YR1961,30000000,..,..,33550000,..,377000,..
Afghanistan,AFG,1962,YR1962,13000000,..,..,15260000,..,377600,..
Afghanistan,AFG,1963,YR1963,32000000,..,..,34880000,..,378100,..
Afghanistan,AFG,1964,YR1964,37000000,..,..,44220000,..,378730,..
Afghanistan,AFG,1965,YR1965,33470000,..,..,51170000,..,378750,..
Afghanistan,AFG,1966,YR1966,29970000,..,..,46960000,..,379130,..
Afghanistan,AFG,1967,YR1967,26390000,..,..,37080000,..,379790,..
Afghanistan,AFG,1968,YR1968,16920000,..,..,24500000,..,379800,..
Afghanistan,AFG,1969,YR1969,15000000,..,..,22520000,..,379960,..
Afghanistan,AFG,1970,YR1970,12000000,..,0.0131512243609448,21510000,..,380060,..
Afghanistan,AFG,1971,YR1971,22000000,..,0.0245752714393039,38220000,..,380360,..
Afghanistan,AFG,1972,YR1972,25000000,..,0.00940111467749321,42290000,..,380460,..
Afghanistan,AFG,1973,YR1973,33000000,..,0.0155769236960059,45710000,..,380480,..
Afghanistan,AFG,1974,YR1974,12000000,..,..,18190000,..,380480,..
Afghanistan,AFG,1975,YR1975,17000000,..,..,33010000,..,380480,..
Afghanistan,AFG,1976,YR1976,21000000,..,0.00156521738449906,36460000,..,380480,..
Afghanistan,AFG,1977,YR1977,12000000,..,-0.00812641060285658,27980000,..,380500,..
Afghanistan,AFG,1978,YR1978,11000000,..,..,33590000,..,380500,..
Afghanistan,AFG,1979,YR1979,12000000,..,0.0324504958728158,46990000,..,380490,..
Afghanistan,AFG,1980,YR1980,2000000,..,0.247135743279599,11430000,..,380490,..
Afghanistan,AFG,1981,YR1981,-7000000,..,0.005174215982803,-7860000,..,380530,..
Afghanistan,AFG,1982,YR1982,-2000000,..,..,450000,..,380540,..
Afghanistan,AFG,1983,YR1983,-2000000,..,..,5360000,..,380540,..
Afghanistan,AFG,1984,YR1984,-3000000,..,..,-960000,..,380540,..
Afghanistan,AFG,1985,YR1985,..,..,..,6900000,..,380540,..
Afghanistan,AFG,1986,YR1986,-5000000,..,..,-1660000,..,380540,..
Afghanistan,AFG,1987,YR1987,29000000,..,..,39310000,..,380450,..
Afghanistan,AFG,1988,YR1988,29000000,..,..,67100000,..,380400,..
Afghanistan,AFG,1989,YR1989,40000000,..,..,90100000,..,380400,5174
Afghanistan,AFG,1990,YR1990,56000000,..,..,102740000,..,380400,1478
Afghanistan,AFG,1991,YR1991,59000000,..,..,107510000,..,380300,3302
Afghanistan,AFG,1992,YR1992,65000000,..,..,140360000,..,380300,4276
Afghanistan,AFG,1993,YR1993,42000000,..,..,131220000,..,379340,4071
Afghanistan,AFG,1994,YR1994,53000000,..,..,158450000,..,378130,8937
Afghanistan,AFG,1995,YR1995,2000000,..,..,130610000,..,377530,5499
Afghanistan,AFG,1996,YR1996,2000000,..,..,122650000,..,377520,3177
Afghanistan,AFG,1997,YR1997,..,..,..,178160000,..,377900,6396
Afghanistan,AFG,1998,YR1998,..,..,..,131990000,..,378670,6256
Afghanistan,AFG,1999,YR1999,32080000,..,..,118770000,..,377530,4629
Afghanistan,AFG,2000,YR2000,2420000,..,..,105240000,..,377530,5235
Afghanistan,AFG,2001,YR2001,7700000,..,0.0276235694507676,368650000,..,377530,5148
Afghanistan,AFG,2002,YR2002,367610000,..,1.21099954088341,1134420000,..,377530,908
Afghanistan,AFG,2003,YR2003,485790000,..,1.2610053680405,1428820000,..,379100,687
Afghanistan,AFG,2004,YR2004,778290000,..,3.53611225780648,1934600000,2.36978613572853,379110,715
Afghanistan,AFG,2005,YR2005,1318300000,..,4.3186744650901,2441580000,1.95042957139392,379100,1595
Afghanistan,AFG,2006,YR2006,1403710000,..,3.3722519515549,2638330000,1.86129988322751,379100,4750
Afghanistan,AFG,2007,YR2007,1514280000,..,1.91683279017632,3321110000,2.23706942196111,379100,6890
Afghanistan,AFG,2008,YR2008,2111580000,..,0.451730582519639,4351200000,2.32800275800812,379100,5552
Afghanistan,AFG,2009,YR2009,2979930000,..,1.58175399279445,5519150000,2.06075131768437,379100,6341
Afghanistan,AFG,2010,YR2010,2938840000,..,0.340096812635776,5824910000,1.89747275108326,379100,6864
Albania,ALB,1960,YR1960,..,..,..,..,..,..,..
Albania,ALB,1961,YR1961,..,..,..,..,..,12320,..
Albania,ALB,1962,YR1962,..,..,..,..,..,12320,..
Albania,ALB,1963,YR1963,..,..,..,..,..,12330,..
Albania,ALB,1964,YR1964,..,..,..,..,..,12300,..
Albania,ALB,1965,YR1965,..,..,..,..,..,12370,..
Albania,ALB,1966,YR1966,..,..,..,..,..,12400,..
Albania,ALB,1967,YR1967,..,..,..,..,..,12440,..
Albania,ALB,1968,YR1968,..,..,..,..,..,12400,..
Albania,ALB,1969,YR1969,..,..,..,..,..,12350,..
Albania,ALB,1970,YR1970,..,..,..,..,..,12300,..
Albania,ALB,1971,YR1971,..,..,..,..,..,12000,..
Albania,ALB,1972,YR1972,..,..,..,..,..,11740,..
Albania,ALB,1973,YR1973,..,..,..,..,..,11460,..
Albania,ALB,1974,YR1974,..,..,..,..,..,11220,..
Albania,ALB,1975,YR1975,..,..,..,..,..,10800,..
Albania,ALB,1976,YR1976,..,..,..,..,..,10750,..
Albania,ALB,1977,YR1977,..,..,..,..,..,11090,..
Albania,ALB,1978,YR1978,..,..,..,..,..,11140,..
Albania,ALB,1979,YR1979,..,..,..,..,..,11170,..
Albania,ALB,1980,YR1980,..,..,..,..,..,11180,..
Albania,ALB,1981,YR1981,..,..,..,..,..,11160,..
Albania,ALB,1982,YR1982,..,..,..,..,..,11140,..
Albania,ALB,1983,YR1983,..,..,..,..,..,11100,..
Albania,ALB,1984,YR1984,..,..,..,..,..,11130,..
Albania,ALB,1985,YR1985,..,..,..,..,..,11120,..
Albania,ALB,1986,YR1986,..,..,..,..,..,11110,..
Albania,ALB,1987,YR1987,..,..,..,..,..,11110,..
Albania,ALB,1988,YR1988,..,..,..,3440000,5.61500470366886,11170,..
Albania,ALB,1989,YR1989,..,..,..,7320000,5.16567638330751,11100,..
Albania,ALB,1990,YR1990,..,..,..,9020000,5.88830082474813,11210,..
Albania,ALB,1991,YR1991,..,..,..,321920000,5.79127052776037,11270,..
Albania,ALB,1992,YR1992,28000000,..,2.81907493952745,384320000,4.44845197534468,11270,..
Albania,ALB,1993,YR1993,29000000,..,4.72285382625773,212680000,3.19929790202817,11260,..
Albania,ALB,1994,YR1994,10000000,..,2.66911917005927,100540000,2.50038576220844,11260,..
Albania,ALB,1995,YR1995,8000000,..,2.88719441567244,113200000,2.09971303703802,11270,..
Albania,ALB,1996,YR1996,17000000,..,2.71803211079995,181240000,1.37902873137544,11310,..
Albania,ALB,1997,YR1997,6000000,..,2.01279450134675,139510000,1.28308157356327,11350,..
Albania,ALB,1998,YR1998,14170000,..,1.66265024373613,179210000,1.23824307676577,11390,..
Albania,ALB,1999,YR1999,23760000,..,1.20652663606142,369530000,1.24920882100311,11450,6
Albania,ALB,2000,YR2000,44720000,..,3.93717707248264,228990000,1.24635933859902,11440,..
Albania,ALB,2001,YR2001,42260000,..,5.10495722598373,214350000,1.30929225051135,11390,..
Albania,ALB,2002,YR2002,61790000,..,3.04391445380857,207800000,1.32003499118436,11400,..
Albania,ALB,2003,YR2003,39990000,..,3.09793068118977,264280000,1.33684453735893,11210,..
