Time,Time Code,Country,Country Code,"Agr: Food, 2010=100, real 2010$ [KIFOOD]","Agr: Food: Grains, 2010=100, real 2010$ [KIGRAINS]","Agr: Raw materials, 2010=100, real 2010$ [KIRAW_MATERIAL]"
1960,1960,World,WLD,110.03291326939,122.38291997175,115.48802775192
1960M01,1960M01,World,WLD,..,..,..
1960M02,1960M02,World,WLD,..,..,..
1960M03,1960M03,World,WLD,..,..,..
1960M04,1960M04,World,WLD,..,..,..
1960M05,1960M05,World,WLD,..,..,..
1960M06,1960M06,World,WLD,..,..,..
1960M07,1960M07,World,WLD,..,..,..
1960M08,1960M08,World,WLD,..,..,..
1960M09,1960M09,World,WLD,..,..,..
1960M10,1960M10,World,WLD,..,..,..
1960M11,1960M11,World,WLD,..,..,..
1960M12,1960M12,World,WLD,..,..,..
1961,1961,World,WLD,114.10407984741,124.65751773612,106.27428720572
1961M01,1961M01,World,WLD,..,..,..
1961M02,1961M02,World,WLD,..,..,..
1961M03,1961M03,World,WLD,..,..,..
1961M04,1961M04,World,WLD,..,..,..
1961M05,1961M05,World,WLD,..,..,..
1961M06,1961M06,World,WLD,..,..,..
1961M07,1961M07,World,WLD,..,..,..
1961M08,1961M08,World,WLD,..,..,..
1961M09,1961M09,World,WLD,..,..,..
1961M10,1961M10,World,WLD,..,..,..
1961M11,1961M11,World,WLD,..,..,..
1961M12,1961M12,World,WLD,..,..,..
1962,1962,World,WLD,110.86675454513,134.90556007665,102.70835143355
1962M01,1962M01,World,WLD,..,..,..
1962M02,1962M02,World,WLD,..,..,..
1962M03,1962M03,World,WLD,..,..,..
1962M04,1962M04,World,WLD,..,..,..
1962M05,1962M05,World,WLD,..,..,..
1962M06,1962M06,World,WLD,..,..,..
1962M07,1962M07,World,WLD,..,..,..
1962M08,1962M08,World,WLD,..,..,..
1962M09,1962M09,World,WLD,..,..,..
1962M10,1962M10,World,WLD,..,..,..
1962M11,1962M11,World,WLD,..,..,..
1962M12,1962M12,World,WLD,..,..,..
1963,1963,World,WLD,126.3432595368,140.4957650486,101.47725431852
1963M01,1963M01,World,WLD,..,..,..
1963M02,1963M02,World,WLD,..,..,..
1963M03,1963M03,World,WLD,..,..,..
1963M04,1963M04,World,WLD,..,..,..
1963M05,1963M05,World,WLD,..,..,..
1963M06,1963M06,World,WLD,..,..,..
1963M07,1963M07,World,WLD,..,..,..
1963M08,1963M08,World,WLD,..,..,..
1963M09,1963M09,World,WLD,..,..,..
1963M10,1963M10,World,WLD,..,..,..
1963M11,1963M11,World,WLD,..,..,..
1963M12,1963M12,World,WLD,..,..,..
1964,1964,World,WLD,123.81783258213,139.6651512152,97.30751818342
1964M01,1964M01,World,WLD,..,..,..
1964M02,1964M02,World,WLD,..,..,..
1964M03,1964M03,World,WLD,..,..,..
1964M04,1964M04,World,WLD,..,..,..
1964M05,1964M05,World,WLD,..,..,..
1964M06,1964M06,World,WLD,..,..,..
1964M07,1964M07,World,WLD,..,..,..
1964M08,1964M08,World,WLD,..,..,..
1964M09,1964M09,World,WLD,..,..,..
1964M10,1964M10,World,WLD,..,..,..
1964M11,1964M11,World,WLD,..,..,..
1964M12,1964M12,World,WLD,..,..,..
1965,1965,World,WLD,120.33923536418,134.40509923715,96.82486221495
1965M01,1965M01,World,WLD,..,..,..
1965M02,1965M02,World,WLD,..,..,..
1965M03,1965M03,World,WLD,..,..,..
1965M04,1965M04,World,WLD,..,..,..
1965M05,1965M05,World,WLD,..,..,..
1965M06,1965M06,World,WLD,..,..,..
1965M07,1965M07,World,WLD,..,..,..
1965M08,1965M08,World,WLD,..,..,..
1965M09,1965M09,World,WLD,..,..,..
1965M10,1965M10,World,WLD,..,..,..
1965M11,1965M11,World,WLD,..,..,..
1965M12,1965M12,World,WLD,..,..,..
1966,1966,World,WLD,120.01804727515,142.36301751081,98.20529862608
1966M01,1966M01,World,WLD,..,..,..
1966M02,1966M02,World,WLD,..,..,..
1966M03,1966M03,World,WLD,..,..,..
1966M04,1966M04,World,WLD,..,..,..
1966M05,1966M05,World,WLD,..,..,..
1966M06,1966M06,World,WLD,..,..,..
1966M07,1966M07,World,WLD,..,..,..
1966M08,1966M08,World,WLD,..,..,..
1966M09,1966M09,World,WLD,..,..,..
1966M10,1966M10,World,WLD,..,..,..
1966M11,1966M11,World,WLD,..,..,..
1966M12,1966M12,World,WLD,..,..,..
1967,1967,World,WLD,119.4617050693,151.2911640652,93.86865349131
1967M01,1967M01,World,WLD,..,..,..
1967M02,1967M02,World,WLD,..,..,..
1967M03,1967M03,World,WLD,..,..,..
