	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	D.question_count	D.criticize_total_per	diff_quest	diff_crit	D.debate_speeches	D.question_count	D.criticize_total_per	diff_quest	diff_crit	debate_speeches
										
_It2_1	0.131	2.035	-0.030	0.730	0.000	0.131	2.035	-0.030	0.730	-0.020
	(0.136)	(1.818)	(0.115)	(1.585)	(0.000)	(0.136)	(1.818)	(0.115)	(1.586)	(0.097)
high_internet4	0.257	3.958	0.074	3.974	0.000					
	(0.262)	(4.157)	(0.242)	(3.774)	(0.000)					
_It2Xhigh__1	-1.167***	-11.056***	-0.255	-2.713	0.000	-1.202***	-11.763***	-0.263	-3.152	0.556**
	(0.259)	(2.880)	(0.205)	(1.756)	(0.000)	(0.289)	(3.288)	(0.233)	(1.962)	(0.246)
high_internet6						0.293	4.664	0.082	4.413	-0.099*
						(0.296)	(4.713)	(0.275)	(4.302)	(0.050)
Constant	-0.007	0.990	-0.018	-0.901	0.000	-0.007	0.990	-0.018	-0.901	0.563***
	(0.081)	(0.923)	(0.064)	(0.771)	(0.000)	(0.081)	(0.923)	(0.064)	(0.771)	(0.045)
										
Observations	461	461	461	461	169	457	457	457	457	457
R-squared	0.015	0.010	0.002	0.006		0.015	0.011	0.002	0.006	0.007
rmse	1.340	15.81	1.093	13.53	0	1.345	15.87	1.098	13.59	0.941
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
