	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	diff_quest	diff_quest	diff_quest	diff_quest	diff_crit	diff_crit	diff_crit	diff_crit
								
_It2_1	-0.042	-0.150	-0.033	-0.167	0.381	-0.126	0.589	7.302
	(0.111)	(0.116)	(0.108)	(0.532)	(1.619)	(1.828)	(1.457)	(10.574)
fulltime	0.086	0.066	0.074	0.079	1.327	1.262	1.290	1.310
	(0.198)	(0.156)	(0.156)	(0.157)	(2.161)	(2.003)	(2.009)	(1.982)
_It2Xfullt_1	-0.035				-0.068			
	(0.336)				(3.238)			
centralnominated	0.118	0.014	0.121	0.152	-2.048	-2.564*	-2.007	-1.951
	(0.144)	(0.140)	(0.145)	(0.147)	(1.279)	(1.500)	(1.306)	(1.251)
retirement	-0.122	-0.133	0.046	-0.140	-1.967	-2.022	0.047	-2.005
	(0.180)	(0.193)	(0.196)	(0.192)	(2.441)	(2.504)	(2.624)	(2.443)
_It2Xcentr_1		0.363				1.816		
		(0.279)				(2.338)		
_It2Xretir_1			-0.635				-7.596	
			(0.430)				(5.714)	
percentage				-0.009				0.002
				(0.006)				(0.085)
_It2Xperce_1				0.001				-0.098
				(0.007)				(0.134)
Constant	-0.066	-0.029	-0.069	0.553	-0.214	-0.042	-0.285	-0.363
	(0.062)	(0.064)	(0.063)	(0.486)	(0.821)	(0.970)	(0.856)	(6.748)
								
Observations	461	461	461	461	461	461	461	461
R-squared	0.005	0.010	0.007	0.011	0.006	0.007	0.008	0.008
rank	6	6	6	7	6	6	6	7
ll_0	-693.5	-693.5	-693.5	-693.5	-1854	-1854	-1854	-1854
ll	-692.3	-691.3	-691.9	-690.9	-1853	-1853	-1853	-1853
r2_a	-0.00575	-0.00109	-0.00368	-0.00174	-0.00463	-0.00387	-0.00267	-0.00514
rss	544.1	541.6	543.0	540.7	83653	83590	83489	83511
mss	2.833	5.354	3.953	6.196	529.1	592.7	693.1	670.9
rmse	1.094	1.091	1.092	1.091	13.56	13.55	13.55	13.56
r2	0.00518	0.00979	0.00723	0.0113	0.00629	0.00704	0.00823	0.00797
F	0.412	0.618	1.017	0.630	0.869	1.037	1.280	0.760
df_r	63	63	63	63	63	63	63	63
df_m	5	5	5	6	5	5	5	6
N_clust	64	64	64	64	64	64	64	64
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
