	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	total_view	total_view	total_view	total_view	total_view	total_view
						
internet_users100	0.075***	0.041***	0.032**	0.043***	0.143***	0.209**
	(0.025)	(0.014)	(0.013)	(0.014)	(0.036)	(0.093)
interview		1.548***	1.509***	1.357***	1.360***	1.370***
		(0.152)	(0.153)	(0.132)	(0.135)	(0.136)
question_count			0.153*	0.127*	0.136**	0.138**
			(0.079)	(0.067)	(0.066)	(0.066)
centralnominated				-0.128	-0.089	-0.109
				(0.199)	(0.179)	(0.185)
fulltime				0.553***	0.594***	0.585***
				(0.191)	(0.194)	(0.197)
retirement				0.309	0.072	0.102
				(0.509)	(0.474)	(0.481)
female				0.190	0.115	0.117
				(0.118)	(0.118)	(0.120)
ln_gdpcap					-0.219**	-0.268**
					(0.102)	(0.119)
ln_pop					0.483***	0.507***
					(0.101)	(0.109)
city					-1.055***	-1.545**
					(0.261)	(0.667)
Constant	0.487***	-0.050**	-0.084**	-0.239**	0.025	0.068
	(0.095)	(0.025)	(0.039)	(0.094)	(0.207)	(0.219)
						
Observations	143	143	143	143	143	141
R-squared	0.022	0.494	0.529	0.568	0.617	0.618
rank	2	3	4	8	11	11
ll_0	-214.9	-214.9	-214.9	-214.9	-214.9	-212.7
ll	-213.3	-166.2	-161.0	-154.8	-146.3	-144.8
r2_a	0.0153	0.487	0.519	0.546	0.588	0.589
rss	165.3	85.57	79.58	73.00	64.78	64.38
mss	3.765	83.52	89.51	96.09	104.3	104.3
rmse	1.083	0.782	0.757	0.735	0.701	0.704
r2	0.0223	0.494	0.529	0.568	0.617	0.618
F	8.934	189.0	183.3	62.27	48.31	49.08
df_r	57	57	57	57	57	56
df_m	1	2	3	7	10	10
N_clust	58	58	58	58	58	57
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
