	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	D.question_count	D.question_count	D.question_count	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per
						
t2	0.016	0.018	-0.024	0.942	0.789	2.415
	(0.146)	(0.149)	(0.166)	(1.802)	(1.764)	(2.439)
interview			0.110			-4.299*
			(0.222)			(2.487)
fulltime		0.192	0.181		4.349*	4.805**
		(0.205)	(0.207)		(2.299)	(2.264)
centralnominated		0.050	0.047		-3.533**	-3.442**
		(0.147)	(0.146)		(1.463)	(1.464)
retirement		0.221	0.207		-0.148	0.393
		(0.205)	(0.207)		(1.360)	(1.472)
Constant	0.019	-0.058	-0.054	1.389	1.182	1.007
	(0.078)	(0.088)	(0.087)	(0.948)	(0.969)	(0.992)
						
Observations	461	461	461	461	461	461
R-squared	0.000	0.006	0.006	0.001	0.018	0.023
rank	2	5	6	2	5	6
ll_0	-790.4	-790.4	-790.4	-1927	-1927	-1927
ll	-790.4	-789.1	-789.0	-1927	-1923	-1922
r2_a	-0.00215	-0.00293	-0.00466	-0.00142	0.00945	0.0125
rss	832.7	827.9	827.5	115311	113314	112719
mss	0.0256	4.823	5.210	87.50	2084	2680
rmse	1.347	1.347	1.349	15.85	15.76	15.74
r2	3.07e-05	0.00579	0.00626	0.000758	0.0181	0.0232
F	0.0121	0.931	0.747	0.273	2.292	2.436
df_r	63	63	63	63	63	63
df_m	1	4	5	1	4	5
N_clust	64	64	64	64	64	64
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
