	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	D.question_count	D.question_count	D.question_count	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per	diff_quest	diff_quest	diff_quest	diff_crit	diff_crit	diff_crit
												
_It2_1	0.421*	0.547	0.276	3.769	12.291	2.354	0.098	0.398	0.097	2.947	5.235	1.346
	(0.222)	(0.612)	(0.174)	(2.807)	(7.391)	(2.191)	(0.193)	(0.489)	(0.134)	(2.457)	(6.348)	(1.995)
thanh_thi_per	0.511			-6.917			-0.272			-3.256		
	(0.672)			(8.485)			(0.562)			(9.196)		
_It2Xthanh_1	-1.503***			-11.196			-0.590			-8.987		
	(0.549)			(7.200)			(0.533)			(5.640)		
centralnominated	0.049	0.035	0.055	-3.254**	-3.105**	-3.157**	0.136	0.141	0.148	-1.667	-1.683	-1.653
	(0.153)	(0.148)	(0.147)	(1.411)	(1.353)	(1.416)	(0.150)	(0.148)	(0.145)	(1.206)	(1.195)	(1.221)
fulltime	0.235	0.231	0.225	3.848	3.794	3.803	0.071	0.069	0.065	0.863	0.825	0.848
	(0.216)	(0.215)	(0.214)	(2.403)	(2.398)	(2.370)	(0.168)	(0.166)	(0.163)	(2.097)	(2.096)	(2.090)
retirement	0.335	0.304	0.333	0.536	0.019	0.292	-0.065	-0.088	-0.076	-1.696	-2.098	-1.843
	(0.239)	(0.243)	(0.255)	(1.440)	(1.378)	(1.412)	(0.216)	(0.223)	(0.227)	(2.746)	(2.793)	(2.741)
city	0.003	-0.064	0.120	0.306	-4.341	-1.847	0.139	-0.048	-0.002	-0.076	-3.400	-0.785
	(0.308)	(0.223)	(0.272)	(5.250)	(4.064)	(4.201)	(0.233)	(0.143)	(0.174)	(5.419)	(3.301)	(3.578)
ln_gdpcap	0.049	-0.059	-0.019	1.860	-0.042	0.150	0.282*	0.195	0.207	3.711**	2.233	2.558
	(0.195)	(0.186)	(0.166)	(2.129)	(1.921)	(2.016)	(0.145)	(0.143)	(0.132)	(1.736)	(1.766)	(1.689)
ln_pop	-0.103	0.007	-0.144	-0.740	0.532	-0.675	-0.162**	-0.113	-0.177**	-0.775	0.500	-0.694
	(0.101)	(0.125)	(0.098)	(1.232)	(1.548)	(1.258)	(0.078)	(0.101)	(0.079)	(0.894)	(1.239)	(0.870)
transfer	0.000	-0.001	0.000	-0.010	-0.017**	-0.011	-0.000	-0.000	-0.000	-0.005	-0.013	-0.007
	(0.001)	(0.001)	(0.001)	(0.008)	(0.008)	(0.008)	(0.001)	(0.001)	(0.001)	(0.008)	(0.008)	(0.008)
south	-0.269	-0.218	-0.240	-2.229	-2.889*	-3.036*	-0.242	-0.270**	-0.276**	-3.930**	-4.135***	-4.358***
	(0.181)	(0.139)	(0.147)	(2.112)	(1.694)	(1.814)	(0.145)	(0.111)	(0.113)	(1.902)	(1.492)	(1.626)
unweighted	0.013	0.017	0.016	0.111	0.134	0.110	0.009	0.010	0.011	0.022	0.053	0.014
	(0.013)	(0.013)	(0.015)	(0.147)	(0.156)	(0.159)	(0.010)	(0.010)	(0.011)	(0.124)	(0.133)	(0.128)
state_labor_per		24.352*			273.883**			10.781			233.067*	
		(12.236)			(131.406)			(9.941)			(127.277)	
_It2Xstate_1		-17.396			-381.642			-15.142			-152.929	
		(20.695)			(228.591)			(17.318)			(194.279)	
student_per			4.650			10.613			3.257			-4.385
			(3.958)			(36.206)			(3.266)			(29.624)
_It2Xstude_1			-12.085**			-68.845			-7.218**			-33.885
			(4.611)			(54.808)			(2.774)			(31.508)
Constant	-0.881	-1.505*	-0.945	-4.822	-11.338	-2.758	-0.887	-1.125	-0.963	-5.050	-11.105	-2.775
	(0.794)	(0.891)	(0.930)	(9.038)	(10.940)	(9.823)	(0.549)	(0.688)	(0.687)	(8.052)	(10.498)	(8.554)
												
Observations	451	451	451	451	451	451	451	451	451	451	451	451
R-squared	0.023	0.023	0.029	0.030	0.034	0.027	0.024	0.024	0.029	0.030	0.033	0.027
rank	13	13	13	13	13	13	13	13	13	13	13	13
ll_0	-777.1	-777.1	-777.1	-1882	-1882	-1882	-682.9	-682.9	-682.9	-1808	-1808	-1808
ll	-771.9	-771.8	-770.5	-1875	-1874	-1876	-677.4	-677.4	-676.3	-1801	-1801	-1802
r2_a	-0.00386	-0.00366	0.00233	0.00380	0.00724	0.000757	-0.00246	-0.00230	0.00248	0.00309	0.00609	0.000474
rss	809.6	809.5	804.7	107770	107397	108099	532.5	532.4	529.9	77769	77535	77974
mss	18.98	19.15	23.97	3375	3747	3046	13.25	13.33	15.87	2378	2613	2174
rmse	1.360	1.359	1.355	15.69	15.66	15.71	1.103	1.103	1.100	13.33	13.30	13.34
r2	0.0229	0.0231	0.0289	0.0304	0.0337	0.0274	0.0243	0.0244	0.0291	0.0297	0.0326	0.0271
F	1.661	1.181	1.494	1.342	1.455	1.907	1.935	1.361	3.158	1.582	1.535	1.245
df_r	62	62	62	62	62	62	62	62	62	62	62	62
df_m	12	12	12	12	12	12	12	12	12	12	12	12
N_clust	63	63	63	63	63	63	63	63	63	63	63	63
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
