	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	D.question_count	D.criticize_total_per	debate_speeches	D.question_count	D.criticize_total_per	debate_speeches	D.question_count	D.criticize_total_per	debate_speeches
									
_It2_1	-0.010	1.170	0.015	0.797	2.997	-0.980**	0.147	1.592	-0.032
	(0.225)	(2.815)	(0.120)	(0.577)	(6.057)	(0.371)	(0.159)	(1.774)	(0.096)
transfer	0.000	-0.011	0.000	0.000	-0.012	0.000	0.000	-0.012	0.000
	(0.001)	(0.008)	(0.000)	(0.001)	(0.007)	(0.000)	(0.001)	(0.007)	(0.000)
_It2Xtrans_1	0.001	-0.006	0.000						
	(0.001)	(0.017)	(0.001)						
centralnominated	0.045	-3.724**	-0.102	0.059	-3.655**	-0.122	0.034	-3.783**	-0.098
	(0.149)	(1.438)	(0.110)	(0.154)	(1.478)	(0.107)	(0.146)	(1.442)	(0.109)
fulltime	0.207	4.529*	0.642***	0.209	4.490*	0.644***	0.210	4.496*	0.642***
	(0.215)	(2.431)	(0.127)	(0.214)	(2.432)	(0.122)	(0.212)	(2.412)	(0.123)
retirement	0.298	0.083	0.672*	0.300	0.080	0.670*	0.322	0.275	0.661*
	(0.226)	(1.255)	(0.361)	(0.227)	(1.265)	(0.349)	(0.221)	(1.341)	(0.357)
city	0.138	-2.650	0.167	0.076	-2.981	0.261**	0.170	-2.566	0.157
	(0.215)	(3.655)	(0.114)	(0.225)	(3.608)	(0.101)	(0.209)	(3.818)	(0.118)
ln_gdpcap	0.002	0.012	0.086	0.198	0.806	-0.189*	-0.012	0.150	0.086
	(0.179)	(2.087)	(0.136)	(0.256)	(2.876)	(0.106)	(0.173)	(1.982)	(0.144)
ln_pop	-0.135	-0.496	-0.041	-0.136	-0.503	-0.039	-0.042	0.294	-0.082
	(0.100)	(1.211)	(0.045)	(0.103)	(1.215)	(0.047)	(0.107)	(1.279)	(0.054)
o.transfer	-	-	-						
									
south	-0.235	-3.215*	0.162**	-0.247*	-3.278*	0.180**	-0.243	-3.316*	0.166**
	(0.144)	(1.742)	(0.069)	(0.147)	(1.763)	(0.069)	(0.146)	(1.762)	(0.070)
unweighted	0.015	0.099	-0.001	0.015	0.097	-0.001	0.015	0.096	-0.001
	(0.012)	(0.144)	(0.006)	(0.012)	(0.143)	(0.006)	(0.012)	(0.144)	(0.006)
_It2Xln_gd_1				-0.392	-1.215	0.514***			
				(0.305)	(3.211)	(0.184)			
o.ln_gdpcap				-	-	-			
									
_It2Xln_po_1							-0.348*	-2.986	0.155
							(0.207)	(2.265)	(0.139)
o.ln_pop							-	-	-
									
Constant	-0.823	-1.325	0.181	-1.214	-2.575	0.697*	-0.836	-1.487	0.188
	(0.745)	(8.588)	(0.438)	(0.757)	(9.815)	(0.393)	(0.742)	(8.709)	(0.446)
									
Observations	461	461	461	461	461	461	461	461	461
R-squared	0.016	0.029	0.110	0.019	0.029	0.124	0.021	0.031	0.112
rank	12	12	12	12	12	12	12	12	12
ll_0	-790.4	-1927	-625.5	-790.4	-1927	-625.5	-790.4	-1927	-625.5
ll	-786.8	-1920	-598.6	-786.0	-1920	-595.0	-785.6	-1920	-598.0
r2_a	-0.00857	0.00485	0.0881	-0.00480	0.00486	0.102	-0.00309	0.00764	0.0905
rss	819.8	112093	362.3	816.7	112092	356.7	815.3	111779	361.4
mss	12.95	3306	44.76	16.01	3307	50.41	17.41	3620	45.69
rmse	1.351	15.80	0.898	1.349	15.80	0.891	1.348	15.78	0.897
r2	0.0155	0.0286	0.110	0.0192	0.0287	0.124	0.0209	0.0314	0.112
F	0.995	1.337	8.652	1.188	1.660	5.843	1.212	1.369	6.721
df_r	63	63	63	63	63	63	63	63	63
df_m	11	11	11	11	11	11	11	11	11
N_clust	64	64	64	64	64	64	64	64	64
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
