	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	D.question_count	D.question_count	D.question_count	D.question_count	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per
								
_It2_1	0.053	-0.076	0.027	-0.596	1.905	1.039	0.754	5.784
	(0.143)	(0.164)	(0.153)	(0.951)	(1.964)	(2.425)	(1.814)	(11.662)
fulltime	0.230	0.184	0.192	0.178	5.531**	4.372*	4.352*	4.406*
	(0.247)	(0.205)	(0.205)	(0.203)	(2.423)	(2.303)	(2.300)	(2.231)
_It2Xfullt_1	-0.121				-3.825			
	(0.347)				(3.701)			
centralnominated	0.051	-0.050	0.051	0.079	-3.477**	-3.268*	-3.539**	-3.216**
	(0.145)	(0.159)	(0.147)	(0.141)	(1.480)	(1.828)	(1.460)	(1.457)
retirement	0.221	0.210	0.302		-0.128	-0.120	-0.457	
	(0.206)	(0.210)	(0.265)		(1.329)	(1.358)	(1.682)	
_It2Xcentr_1		0.351				-0.933		
		(0.285)				(3.152)		
_It2Xretir_1			-0.305				1.163	
			(0.303)				(2.288)	
percentage				-0.005				-0.064
				(0.007)				(0.087)
_It2Xperce_1				0.008				-0.072
				(0.012)				(0.145)
Constant	-0.070	-0.026	-0.061	0.301	0.827	1.097	1.194	5.770
	(0.083)	(0.091)	(0.089)	(0.593)	(0.983)	(1.104)	(0.977)	(6.792)
								
Observations	461	461	461	461	461	461	461	461
R-squared	0.006	0.009	0.006	0.006	0.021	0.018	0.018	0.022
rank	6	6	6	6	6	6	6	6
ll_0	-790.4	-790.4	-790.4	-790.4	-1927	-1927	-1927	-1927
ll	-789.0	-788.4	-789.0	-789.0	-1922	-1923	-1923	-1922
r2_a	-0.00477	-0.00225	-0.00481	-0.00464	0.00988	0.00742	0.00731	0.0110
rss	827.6	825.5	827.6	827.5	113016	113297	113310	112884
mss	5.122	7.198	5.088	5.227	2382	2101	2088	2514
rmse	1.349	1.347	1.349	1.349	15.76	15.78	15.78	15.75
r2	0.00615	0.00864	0.00611	0.00628	0.0206	0.0182	0.0181	0.0218
F	0.884	0.987	0.772	0.528	2.363	1.829	1.880	1.940
df_r	63	63	63	63	63	63	63	63
df_m	5	5	5	5	5	5	5	5
N_clust	64	64	64	64	64	64	64	64
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
