	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	D.question_count	D.question_count	D.question_count	D.question_count	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per	D.criticize_total_per	diff_quest	diff_crit
										
_It2_1	0.016	0.247*	0.249	0.271*	0.942	3.188	3.013	2.799	0.021	0.937
	(0.146)	(0.147)	(0.151)	(0.154)	(1.802)	(2.008)	(1.956)	(1.907)	(0.129)	(1.762)
internet_users100		0.058	0.062*	0.105		0.744	0.771	2.850***	0.048	2.247***
		(0.035)	(0.033)	(0.070)		(0.578)	(0.593)	(0.843)	(0.033)	(0.319)
_It2Xinter_1		-0.170***	-0.171***	-0.179***		-1.673***	-1.658***	-1.865***	-0.058**	-0.738***
		(0.030)	(0.027)	(0.027)		(0.383)	(0.381)	(0.330)	(0.027)	(0.276)
centralnominated			0.057	0.046			-3.411**	-3.803**	0.120	-2.200*
			(0.149)	(0.149)			(1.462)	(1.449)	(0.147)	(1.266)
fulltime			0.192	0.209			4.392*	4.522*	0.082	1.579
			(0.205)	(0.213)			(2.330)	(2.383)	(0.164)	(2.136)
retirement			0.208	0.289			-0.383	-0.150	-0.069	-1.932
			(0.217)	(0.239)			(1.374)	(1.377)	(0.205)	(2.592)
city				-0.066				-12.064**	-0.114	-9.919***
				(0.429)				(5.321)	(0.173)	(1.703)
ln_gdpcap				-0.038				-2.488	0.174	0.037
				(0.205)				(1.746)	(0.150)	(1.412)
ln_pop				-0.150				-1.239	-0.163*	-1.283*
				(0.101)				(0.975)	(0.083)	(0.735)
transfer				0.000				-0.016**	-0.000	-0.011*
				(0.001)				(0.007)	(0.001)	(0.006)
south				-0.251*				-3.041*	-0.287**	-4.215***
				(0.150)				(1.548)	(0.112)	(1.299)
unweighted				0.015				0.098	0.008	0.017
				(0.012)				(0.146)	(0.009)	(0.118)
Constant	0.019	-0.055	-0.139	-0.825	1.389	0.439	0.159	1.739	-0.687	0.734
	(0.078)	(0.088)	(0.099)	(0.748)	(0.948)	(1.042)	(1.248)	(8.613)	(0.533)	(7.071)
										
Observations	461	461	461	461	461	461	461	461	461	461
R-squared	0.000	0.015	0.021	0.033	0.001	0.012	0.029	0.056	0.024	0.048
rank	2	4	7	13	2	4	7	13	13	13
ll_0	-790.4	-790.4	-790.4	-790.4	-1927	-1927	-1927	-1927	-693.5	-1854
ll	-790.4	-786.9	-785.5	-782.8	-1927	-1924	-1920	-1914	-687.9	-1843
r2_a	-0.00215	0.00888	0.00828	0.00660	-0.00142	0.00543	0.0164	0.0308	-0.00186	0.0220
rss	832.7	820.0	815.1	805.7	115311	114024	112028	108922	533.6	80179
mss	0.0256	12.78	17.67	27.08	87.50	1375	3370	6476	13.28	4003
rmse	1.347	1.339	1.340	1.341	15.85	15.80	15.71	15.59	1.091	13.38
r2	3.07e-05	0.0153	0.0212	0.0325	0.000758	0.0119	0.0292	0.0561	0.0243	0.0476
F	0.0121	36.00	25.31	10.37	0.273	30.33	15.90	7.931	1.951	6.784
df_r	63	63	63	63	63	63	63	63	63	63
df_m	1	3	6	12	1	3	6	12	12	12
N_clust	64	64	64	64	64	64	64	64	64	64
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
