	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	question_count	criticize_total_per	question_count	criticize_total_per	question_count	criticize_total_per
						
t2	0.062	0.940	0.058	0.790	0.006	1.496
	(0.137)	(1.775)	(0.142)	(1.743)	(0.125)	(2.174)
fulltime			0.504**	6.264**	0.490**	6.461***
			(0.195)	(2.359)	(0.196)	(2.389)
centralnominated			-0.067	-3.541**	-0.070	-3.502**
			(0.178)	(1.689)	(0.176)	(1.664)
retirement			0.225	2.558	0.208	2.793
			(0.363)	(2.995)	(0.371)	(3.060)
interview					0.137	-1.864
					(0.242)	(2.645)
Constant	0.336***	3.771***	0.204***	2.925***	0.210***	2.849***
	(0.071)	(0.878)	(0.073)	(0.925)	(0.069)	(0.910)
						
Observations	461	461	461	461	461	461
R-squared	0.000	0.001	0.027	0.029	0.027	0.030
rank	2	2	5	5	6	6
ll_0	-791.8	-1935	-791.8	-1935	-791.8	-1935
ll	-791.7	-1935	-785.6	-1929	-785.4	-1928
r2_a	-0.00172	-0.00145	0.0181	0.0201	0.0167	0.0189
rss	837.3	119476	815.3	116140	814.7	116028
mss	0.381	87.16	22.32	3423	22.93	3535
rmse	1.351	16.13	1.337	15.96	1.338	15.97
r2	0.000454	0.000729	0.0266	0.0286	0.0274	0.0296
F	0.207	0.281	2.544	2.331	2.109	1.881
df_r	63	63	63	63	63	63
df_m	1	1	4	4	5	5
N_clust	64	64	64	64	64	64
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
