	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	diff_quest	diff_quest	diff_quest	diff_crit	diff_crit	diff_crit
						
t2	-0.055	-0.052	-0.091	0.454	0.362	2.352
	(0.106)	(0.110)	(0.121)	(1.436)	(1.416)	(1.884)
interview			0.101			-5.261***
			(0.198)			(1.933)
fulltime		0.075	0.064		1.306	1.863
		(0.157)	(0.155)		(1.995)	(2.028)
centralnominated		0.118	0.115		-2.049	-1.938
		(0.145)	(0.144)		(1.280)	(1.273)
retirement		-0.122	-0.135		-1.967	-1.305
		(0.179)	(0.185)		(2.437)	(2.400)
Constant	-0.011	-0.062	-0.058	-0.501	-0.208	-0.422
	(0.062)	(0.064)	(0.062)	(0.812)	(0.849)	(0.882)
						
Observations	461	461	461	461	461	461
R-squared	0.001	0.005	0.006	0.000	0.006	0.017
rank	2	5	6	2	5	6
ll_0	-693.5	-693.5	-693.5	-1854	-1854	-1854
ll	-693.4	-692.3	-692.2	-1854	-1853	-1850
r2_a	-0.00163	-0.00359	-0.00519	-0.00194	-0.00243	0.00608
rss	546.6	544.1	543.8	84162	83653	82761
mss	0.299	2.807	3.138	20.29	529.0	1421
rmse	1.091	1.092	1.093	13.54	13.54	13.49
r2	0.000546	0.00513	0.00574	0.000241	0.00628	0.0169
F	0.267	0.505	0.406	0.0998	1.082	2.741
df_r	63	63	63	63	63	63
df_m	1	4	5	1	4	5
N_clust	64	64	64	64	64	64
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
