Country Name,Country Code,v1960,v1961,v1962,v1963,v1964,v1965,v1966,v1967,v1968,v1969,v1970,v1971,v1972,v1973,v1974,v1975,v1976,v1977,v1978,v1979,v1980,v1981,v1982,v1983,v1984,v1985,v1986,v1987,v1988,v1989,v1990,v1991,v1992,v1993,v1994,v1995,v1996,v1997,v1998,v1999,v2000,v2001,v2002,v2003,v2004,v2005,v2006,v2007,v2008,v2009,v2010
Arab World,ARB,,,,,,,,,20.88909458,20.38633307,17.97565114,19.03013689,17.63197061,8.023189746,24.95517271,26.15249229,30.77735378,32.63542397,34.25271232,29.04126418,26.18311913,25.96633123,28.60482534,31.02953937,29.62269587,24.72200563,24.06860754,21.62502654,23.22847399,22.68552905,20.63244617,22.40320246,22.70227011,23.63962046,22.91937333,22.51878803,21.01683795,20.54924941,23.75043465,21.75605637,19.7003328,20.53587961,21.36756112,21.79177562,21.58418207,20.9969944,21.74718118,24.33132016,25.67498725,,
East Asia & Pacific (all income levels),EAS,,,,,,,,,,,34.26202207,32.50456918,31.71244253,33.8994466,34.54149169,31.12148326,30.1315047,29.66116325,31.35297247,32.77447564,32.27305549,31.240203,30.22539271,28.86513018,28.707237,29.15941307,28.82180175,29.16276731,30.9455103,31.93648764,32.52026233,32.27804401,31.27871767,31.55572443,30.71202015,30.9877881,30.93437234,30.12781698,27.26611594,26.38310011,26.93604947,26.10472782,25.23301182,25.69870945,26.42349523,26.53320776,26.804592,26.57212161,27.15879495,25.29238524,
East Asia & Pacific (developing only),EAP,29.37547871,17.28440405,11.79908475,16.63440547,19.56101239,21.31134842,24.04047984,19.02736062,18.98211205,19.68795577,26.65502378,27.11935769,25.64481824,27.58568974,27.66619403,28.78389292,27.0094958,27.61548418,34.54937551,33.70220332,32.90733534,32.00005531,32.08821906,33.20503432,32.54253244,34.39742571,33.88856872,33.09914904,34.30693522,34.66710834,34.58104655,34.91010729,35.48567136,40.72816001,39.40916273,39.52678647,38.35122649,36.14189409,32.25091516,31.25939593,31.54617475,32.25923815,33.24575623,35.92182705,37.40387678,37.01314623,37.44395739,36.62801408,38.49631984,40.44998646,
Euro area,EMU,,,,,,,,,,,28.14567819,26.99474964,26.52116622,27.23793198,27.52649119,24.06790822,25.16568028,24.41847653,23.79049271,24.63532487,25.35515918,23.06717855,22.41239435,21.58122322,21.43131513,21.20916333,21.20531584,21.33519048,22.43334284,23.1736551,23.37705853,23.05849625,22.00250143,20.11343038,20.43898318,20.7687015,20.1842386,20.34446042,21.0965649,21.43650846,22.0234308,21.06721933,19.93444832,19.9565766,20.18608791,20.41571643,21.20784921,21.82774249,21.50083257,18.71745923,
Europe & Central Asia (all income levels),ECS,,,,,,,,,,,26.8025883,25.85636444,25.37995147,26.41889757,26.85017876,23.51112424,24.58177474,23.86683287,23.04757611,23.75791364,23.99263485,21.92282352,21.49164911,20.87482852,21.04103846,21.06349718,21.19909097,21.57463034,22.79481051,23.85483522,23.34997646,22.37997193,21.31158041,19.71413856,20.04644622,20.47623651,19.99032822,20.17810577,20.77428773,20.72266667,21.23549085,20.45523662,19.53692199,19.4898128,19.83320928,20.03492754,20.85960877,21.61861921,21.08662586,18.01705044,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4242987,28.00411219,29.0913157,28.85056969,26.66452781,23.95329669,24.77480332,23.93303822,22.85574304,19.06641842,17.25830752,19.63288698,19.87548691,19.96647201,20.54327388,21.4451202,21.55326808,22.93066129,24.79187827,25.33487492,19.45501666,
European Union,EUU,,,,,,,,,,,26.71829229,25.68097495,25.18133113,26.30327453,26.65066623,23.31873365,24.49480514,23.73019748,23.09842739,23.82470595,23.8728769,21.74371299,21.34581193,20.76676372,20.87143177,20.89233535,20.89319347,21.13695396,22.44451041,23.31645158,22.90593361,21.86678412,20.79813702,19.18314227,19.65799449,20.07884041,19.62679644,19.84948412,20.68462414,20.84639686,21.29113867,20.44218683,19.45955464,19.39538805,19.67676189,19.85964285,20.65606421,21.38355432,20.82058273,17.87322858,
Heavily indebted poor countries (HIPC),HPC,,,,,,14.19475486,14.13531514,14.57572229,14.23148532,14.08892559,15.72429256,16.05256533,15.79311217,17.03327571,18.34120253,19.25369486,17.59421033,19.20422939,19.76111639,18.44175068,17.68962518,18.14139988,17.27209184,15.20818978,14.62897743,14.93781363,15.02947956,15.73140619,15.50496054,14.08599803,15.63984016,15.85745736,16.16668349,16.70745318,17.90946168,17.63196969,17.60288493,17.97749157,18.55004529,18.46097624,18.56141032,18.69804981,18.64892245,19.4229286,20.01086723,21.463503,21.18872402,22.38875885,23.20888671,22.73890524,
High income,HIC,,,,,,,,,,,25.53321282,25.13065393,25.09134124,26.07282691,26.45956559,23.2055459,24.09281041,24.20490974,24.58605611,25.31985742,24.46092727,23.85719615,22.36177694,21.78478475,22.82939412,22.35661887,22.09356877,22.2012416,22.86320558,23.41072921,22.9709209,21.98068791,21.29192535,20.73734877,21.17233607,21.39715639,21.40521341,21.78748971,21.72096159,21.67143828,22.00817512,20.8250579,19.94117441,19.8993694,20.51072516,20.88047858,21.32377657,21.18471768,20.42296948,17.23139287,
High income: nonOECD,NOC,,,,,,,,,23.21246673,22.70312404,23.47414089,25.59732108,24.6313353,19.03580356,31.06780964,26.50234984,29.76108232,29.01600701,30.69432276,30.96054964,30.95809433,29.16967378,28.26389359,28.62214272,27.44774277,22.84169212,22.31638631,22.80648198,24.20198967,23.66151093,22.77655658,24.37008522,25.94088199,26.36677963,25.87742503,26.45549012,25.12385289,26.35998141,26.04325495,23.65884393,23.14548016,21.04804604,20.68803025,20.05304121,21.90555381,20.80817883,21.22559555,21.94394588,22.92528597,,
High income: OECD,OEC,,,,,,,,,,,25.60376308,25.11466445,25.10710249,26.33280782,26.28931527,23.08249677,23.88124917,24.0244534,24.3570243,25.1083575,24.21366752,23.6543835,22.13494087,21.52200454,22.6518971,22.33811905,22.08507091,22.17823571,22.81256202,23.40111432,22.97852854,21.88744808,21.11795406,20.52668658,20.99294297,21.20429496,21.26343113,21.6131522,21.55616351,21.59568904,21.96481256,20.81655592,19.91269869,19.89351028,20.45754389,20.88324163,21.32752872,21.1557025,20.33547667,17.10788446,
