prov_str	district_str	division_str	division	year	secondhalf	joined	constituency_1996	constituency_1988	hqs	alignedprovince	unalignedprovince	misalignedprovince	elf	lpop	lsqkm	cabinet	cabinet_9397	cabinet_9802	laggedvoteshare	total_dos	kalofficer	kikofficer	luoofficer	luhyaofficer	kamaofficer	gemaofficer	total_dos_9298_kal_p	total_dos_9298_kik_p	total_dos_9298_luo_p	total_dos_9298_luhya_p	total_dos_9298_miji_p	total_dos_9298_gema_p	total_dos_9298_kamatusa_p	total_dos_kal_9202_p	total_dos_kik_9202_p	avg_drop_indicator	cabinet_9397_p	cabinet_9802_p	unaligneddivision	stronghold	weakhold	mijiofficer	bef97	electionyear	moi_1997_vs	vs_byelection	before1998	rvdummy
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	2001	1	1994	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06341622	0.06341622	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2002	1	1994	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2000	0	1991	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	1997	0	1988	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.06341622	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2002	0	1994	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	1997	0	1994	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.018606335	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	1996	1	1988	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.06341622	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	1999	1	1987	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2001	1	1991	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Kamwangi"	1999	1	1991	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	1995	0	1990	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.018606335	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	2000	1	1980	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06341622	0.06341622	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	1997	1	1994	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	5.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.018606335	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	2002	1	1980	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.06341622	0.06341622	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	2000	0	1980	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06341622	0.06341622	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2000	1	1991	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	2001	0	1980	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06341622	0.06341622	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	1993	0	1991	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.06341622	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	1995	1	1989	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.018606335	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_N"	2001	0	1991	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018606335	0.018606335	0.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Gatundu_b_S"	1996	0	1988	"GATUNDU SOUTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.06341622	0.004310917	1.0	0.0
"CENTRAL"	"KIAMBU"	"GATUNDU"	"Kamwangi"	1997	1	1990	"GATUNDU NORTH"	"Gatundu"	0	0	0	1	0.03302598	5.275503	2.681241	0	0.0	0.0	0.004310917	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.125	0.375	0.125	0.375	0.0	0.375	0.125	0.0625	0.1875	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.018606335	0.004310917	1.0	0.0
