price						
	(1)	(2)	(3)	(4)	(5)	(6)
	OLS					
lnmeantotprovposts11	-0.596***	-0.622***	-0.817***	-0.844***	-0.688***	-0.768***
	(0.165)	(0.169)	(0.279)	(0.224)	(0.198)	(0.201)
Gun at checkpoint	0.256***	0.235***	0.292***	0.268***	0.226***	0.238***
	(0.065)	(0.063)	(0.085)	(0.070)	(0.052)	(0.053)
Number of people manning checkpoints	0.086***	0.085***	0.096***	0.084***	0.062***	0.062***
	(0.018)	(0.020)	(0.023)	(0.019)	(0.009)	(0.009)
t1					0.006	
					(0.025)	
t2					-0.000	
					(0.000)	
t3					0.000	
Observations	1918	1701	1053	1701	2344	2344
Test elas = -1	0.01	0.03	0.51	0.49	0.12	0.25
Test elas = 0	0.00	0.00	0.00	0.00	0.00	0.00
Standard errors in parentheses						
* significant at 10%; ** significant at 5%; *** significant at 1%						
					(0.000)	
First-stage F				188.09		
