log total payments						
	(1)	(2)	(3)	(4)	(5)	(6)
	OLS					
lnztotallposts	-0.764***	-0.709***	-0.614**	-0.711***	-1.587459**	-1.464**
	(0.074)	(0.069)	(0.241)	(0.137)	(0.649744)	(0.583)
t1					-0.255346**	
					(0.121885)	
Constant	14.198***	14.775***	14.602***	14.639***	58.338862***	19.941
	(0.229)	(1.808)	(2.755)	(1.872)	(18.685238)	(0.000)
t2					0.000550**	
					(0.000275)	
t3					-0.000000*	
					(0.000000)	
Observations	161	144	90	145	249	249
Test elas = 1	0.00	0.00	0.11	0.04	0.37	0.43
Test elas = 0	0.00	0.00	0.01	0.00	0.02	0.01
Standard errors in parentheses						
* significant at 10%; ** significant at 5%; *** significant at 1%						
