	(1)	(2)	(3)	(4)	(5)
	Both Routes with Time Cubic (D-in-D)				
lnmeantotprovposts11	-1.106918***	1.059*	1.521***	2.033***	2.135***
	(0.424346)	(0.593)	(0.490)	(0.402)	(0.389)
t1	-0.220251*				
	(0.118234)				
t2	0.000482*				
	(0.000270)				
t3	-0.000000*				
	(0.000000)				
Constant	51.665260***	8.649***	12.016***	5.264***	4.542**
	(17.640543)	(1.476)	(1.824)	(0.961)	(1.940)
Observations	249	124	105	124	105
Test elas = 1	0.80	0.00	0.00	0.00	0.00
Test elas = 0	0.01	0.08	0.00	0.00	0.00
Standard errors in parentheses					
* significant at 10%; ** significant at 5%; *** significant at 1%					
