trid,zpostpayment,ztotzpostpayment,ztotnumpost,zpostgun,zpostnumppl,zpostbargaintype,zpostbargain,zpostdate,zposttime,zpostdatetime,zpostkabid,zpostkecid,zpostwhostops,zpostnumwithintrip,zdriverage,zdriveredyears,zdriverspeaksaceh,zdriversukuaceh,zdriveryearsexp,ztripdate,zroute,zroutetoaceh,ztruckyear,ztruckemptyweight,ztruckmaxweight,ztruckuangjalan,zdrivertrips,zdrivermonthlysalary,zdriverpertripsalary,zdriverasstsalary,zincludedCbesibekas,zincludedCconstruction,zincludedCfood,zincludedCagprod,zincludedCmanufac,zincludedCempties,zincludedperishable,zincludedhighval,zusedasaamt,zusedasa,ztruckweight,ztruckcargovalue,ztruckheight,ztruckconvoy,ztruckconvoyprice,ztypeexpotherA,zexpA,ztypeexpotherB,zexpB,ztypeexpotherC,zexpC,ztypeexpotherD,zexpD,ztypeexpotherE,zexpE,ztypeexpotherF,zexpF,ztypeexpotherG,zexpG,ztypeexpotherH,zexpH,ztypeexpotherI,zexpI,ztypeexpotherJ,zexpJ,ztypeexpotherK,zexpK,ztypeexpotherV1,zexpV1,ztypeexpotherV2,zexpV2,ztypeexpotherV3,zexpV3,ztypeexpotherV4,zexpV4,ztypeexpotherV5,zexpV5,zusedmonthleskapin,zusedmonthasa,zusedmonthja,zusedmonthcamar,zusedmonthbintang,tripmy,postdirmonth,post,ztruckovertons,ztruckoverweight,lnpayment,lntrips,lnsal,truckage,truckage2,ztruckcargoweight,ztruckvalperweight,lnztruckvalperweight,tripnum,gunafter,pplafter
B01030106,1957.9994,3915.9988,2,0,1,2,0,04/01/06,1.75,04/01/06,1111,1174020,1,1,48,12,1,1,15,03/01/06,B,0,1996,9,22.799999,2100000,6,1175273.1,97939.43,,0,0,0,0,1,0,0,0,0,0,15,,3.5,0,0,SOLAR,1515000,UANG MAKAN,100000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,4000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,,,,,,,,,,,1,0,0,0,0,200601,421,66,0,0,7.5796785,1.7917595,13.977011,10,100,6,,,B01030106,0,3
B01030106,1957.9994,3915.9988,2,0,3,2,0,04/01/06,2.75,04/01/06,1111,1111999,1,2,48,12,1,1,15,03/01/06,B,0,1996,9,22.799999,2100000,6,1175273.1,97939.43,,0,0,0,0,1,0,0,0,0,0,15,,3.5,0,0,SOLAR,1515000,UANG MAKAN,100000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,4000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,,,,,,,,,,,1,0,0,0,0,200601,270,46,0,0,7.5796785,1.7917595,13.977011,10,100,6,,,B01030106,,
B01031205,109093.62,119011.22,3,1,5,3,1,04/11/05,,,1108,1108999,5,1,42,12,1,1,7,03/12/05,B,0,1997,10.5,26,5500000,3,,,,1,1,0,0,0,0,0,0,0,0,25.15,,3.5,1,493622.91,SOLAR,1500000,UANG MAKAN,0,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,120000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR PENGAWAL,500000,,,,,,,,,1,0,0,0,0,200512,1298,211,0,0,11.599961,1.0986123,,9,81,14.65,,,B01031205,0,2
B01031205,4958.8008,119011.22,3,0,2,6,1,04/11/05,18.916666,04/11/05,1108,1108040,4,2,42,12,1,1,7,03/12/05,B,0,1997,10.5,26,5500000,3,,,,1,1,0,0,0,0,0,0,0,0,25.15,,3.5,1,493622.91,SOLAR,1500000,UANG MAKAN,0,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,120000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR PENGAWAL,500000,,,,,,,,,1,0,0,0,0,200512,999,148,0,0,8.5089188,1.0986123,,9,81,14.65,,,B01031205,1,15
B01031205,4957.0703,118969.69,3,1,15,1,0,05/11/05,.33333334,05/11/05,1105,1105999,5,3,42,12,1,1,7,03/12/05,B,0,1997,10.5,26,5500000,3,,,,1,1,0,0,0,0,0,0,0,0,25.15,,3.5,1,493622.91,SOLAR,1500000,UANG MAKAN,0,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,120000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR PENGAWAL,500000,,,,,,,,,1,0,0,0,0,200512,1292,207,0,0,8.5085697,1.0986123,,9,81,14.65,,,B01031205,,
B01040106,31817.49,79298.977,5,1,25,2,0,04/01/06,23.166666,04/01/06,1213,1213120,1,1,40,9,1,1,8,04/01/06,B,1,1998,11,35,2300000,5,978999.69,97899.969,,0,0,1,0,0,0,0,0,0,0,37,,3.5,0,0,SOLAR,800000,UANG MAKAN,75000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,36000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR JEMBATAN TIMBANG,250000,,,,,,,,,1,0,0,0,0,200601,574,81,2,1,10.367771,1.6094379,13.794287,8,64,26,,,B01040106,1,30
B01040106,9786.1309,79267.664,5,1,30,1,0,05/01/06,23.666666,05/01/06,1213,1213170,1,2,40,9,1,1,8,04/01/06,B,1,1998,11,35,2300000,5,978999.69,97899.969,,0,0,1,0,0,0,0,0,0,0,37,,3.5,0,0,SOLAR,800000,UANG MAKAN,75000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,36000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR JEMBATAN TIMBANG,250000,,,,,,,,,1,0,0,0,0,200601,616,85,2,1,9.1887217,1.6094379,13.794287,8,64,26,,,B01040106,0,5
B01040106,4893.0654,79267.664,5,0,5,8,0,05/01/06,23.833334,05/01/06,1213,1213170,4,3,40,9,1,1,8,04/01/06,B,1,1998,11,35,2300000,5,978999.69,97899.969,,0,0,1,0,0,0,0,0,0,0,37,,3.5,0,0,SOLAR,800000,UANG MAKAN,75000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,36000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR JEMBATAN TIMBANG,250000,,,,,,,,,1,0,0,0,0,200601,1135,175,2,1,8.495574,1.6094379,13.794287,8,64,26,,,B01040106,1,5
B01040106,31804.926,79267.664,5,1,5,2,0,05/01/06,.58333331,05/01/06,1105,1199999,1,4,40,9,1,1,8,04/01/06,B,1,1998,11,35,2300000,5,978999.69,97899.969,,0,0,1,0,0,0,0,0,0,0,37,,3.5,0,0,SOLAR,800000,UANG MAKAN,75000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,36000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR JEMBATAN TIMBANG,250000,,,,,,,,,1,0,0,0,0,200601,440,67,2,1,10.367376,1.6094379,13.794287,8,64,26,,,B01040106,0,1
B01040106,978.6131,79267.664,5,0,1,8,0,05/01/06,1.3333334,05/01/06,1114,1114999,99,5,40,9,1,1,8,04/01/06,B,1,1998,11,35,2300000,5,978999.69,97899.969,,0,0,1,0,0,0,0,0,0,0,37,,3.5,0,0,SOLAR,800000,UANG MAKAN,75000,BONGKAR MUAT,0,LANGSIR,0,GAJI SOPIR,0,GAJI KERNET/ASISTEN,0,ROKOK UNTUK PUNGLI,0,MINUMAN UNTUK PUNGLI,0,UANG PUNGLI,36000,PUNGLI BENTUK LAIN,0,RETRIBUSI,0,BAYAR JEMBATAN TIMBANG,250000,,,,,,,,,1,0,0,0,0,200601,1546,290,2,1,6.8861365,1.6094379,13.794287,8,64,26,,,B01040106,,
