Bargaining				
	(1)	(2)	(3)	(4)
	lnpayment			
Gun at checkpoint	0.166**	0.154**	0.042**	0.047***
	(0.066)	(0.070)	(0.018)	(0.018)
Number of people manning checkpoints	0.047***	0.050***	0.017***	0.016***
	(0.010)	(0.009)	(0.004)	(0.005)
gunafter		0.016		0.016
		(0.024)		(0.018)
pplafter		-0.003		-0.003
		(0.007)		(0.004)
Constant	8.307***	8.358***	0.066***	0.104***
	(0.074)	(0.077)	(0.022)	(0.028)
Observations	5260	4968	5281	4989
R-squared	0.81	0.81	0.45	0.45
Mean dep var	8.49	8.50	0.13	0.13
Robust standard errors in parentheses				
* significant at 10%; ** significant at 5%; *** significant at 1%				
