ID,Location,OldID,SideA,SideA2nd,SideB,SideB2nd,Incomp,Terr,YEAR,Intensity,CumInt,Type,StartDate,StartPrec,StartDate2,StartPrec2,GWNOA,GWNOA2nd,GWNOB,GWNOB2nd,GWNOLoc,Region,Version
10,Philippines,1100,Philippines,,CPP,,2,,1993,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1994,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1995,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1997,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1999,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2000,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2001,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2002,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2003,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2005,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,2004,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1969,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1970,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
10,Philippines,1100,Philippines,,CPP,,2,,1971,1,1,3,9/1/1969,4,9/1/1969,4,840,,,,840,3,Apr-06
11,Russia (Soviet Union),1110,Russia (Soviet Union),,Forest Brothers,,1,Estonia,1946,1,1,3,1/1/1944,6,1/1/1946,11,365,,,,365,1,Apr-06
11,Russia (Soviet Union),1110,Russia (Soviet Union),,Forest Brothers,,1,Estonia,1947,1,1,3,1/1/1944,6,1/1/1946,11,365,,,,365,1,Apr-06
11,Russia (Soviet Union),1110,Russia (Soviet Union),,Forest Brothers,,1,Estonia,1948,1,1,3,1/1/1944,6,1/1/1946,11,365,,,,365,1,Apr-06
12,Russia (Soviet Union),1120,Russia (Soviet Union),,"LNJS, LNPA, LTS(p)A",,1,Latvia,1946,1,1,3,1/1/1945,6,1/1/1946,11,365,,,,365,1,Apr-06
12,Russia (Soviet Union),1120,Russia (Soviet Union),,"LNJS, LNPA, LTS(p)A",,1,Latvia,1947,1,1,3,1/1/1945,6,1/1/1946,11,365,,,,365,1,Apr-06
13,Russia (Soviet Union),1130,Russia (Soviet Union),,BDPS,,1,Lithuania,1946,2,1,3,6/6/1946,4,6/6/1946,4,365,,,,365,1,Apr-06
13,Russia (Soviet Union),1130,Russia (Soviet Union),,BDPS,,1,Lithuania,1947,2,1,3,6/6/1946,4,6/6/1946,4,365,,,,365,1,Apr-06
13,Russia (Soviet Union),1130,Russia (Soviet Union),,BDPS,,1,Lithuania,1948,1,1,3,6/6/1946,4,6/6/1946,4,365,,,,365,1,Apr-06
14,Russia (Soviet Union),1140,Russia (Soviet Union),,UPA,,1,Ukraine,1946,2,1,3,1/1/1941,5,1/1/1946,11,365,,,,365,1,Apr-06
14,Russia (Soviet Union),1140,Russia (Soviet Union),,UPA,,1,Ukraine,1947,2,1,3,1/1/1941,5,1/1/1946,11,365,,,,365,1,Apr-06
14,Russia (Soviet Union),1140,Russia (Soviet Union),,UPA,,1,Ukraine,1948,2,1,3,1/1/1941,5,1/1/1946,11,365,,,,365,1,Apr-06
14,Russia (Soviet Union),1140,Russia (Soviet Union),,UPA,,1,Ukraine,1949,1,1,3,1/1/1941,5,1/1/1946,11,365,,,,365,1,Apr-06
14,Russia (Soviet Union),1140,Russia (Soviet Union),,UPA,,1,Ukraine,1950,1,1,3,1/1/1941,5,1/1/1946,11,365,,,,365,1,Apr-06
15,"France, Thailand",1150,Thailand,,France,,1,Northern Cambodia,1946,1,0,2,5/7/1946,1,5/7/1946,1,800,,220,,"220, 800",3,Apr-06
16,"Albania, United Kingdom",1160,United Kingdom,,Albania,,1,Korfu Channel,1946,1,0,2,10/22/1946,1,10/22/1946,1,200,,339,,"339, 200",1,Apr-06
